timestamp,ecg_mv
1756047316.474924,0.003846285897396771
1756047316.4769242,-0.0717973367514064
1756047316.478924,-0.07307943205053866
1756047316.4809241,-0.07436152734967091
1756047316.482924,-0.07436152734967091
1756047316.484924,-0.07564362264880317
1756047316.4869242,-0.07692571794793543
1756047316.488924,-0.07820781324706769
1756047316.4909241,-0.07820781324706769
1756047316.492924,-0.07948990854619993
1756047316.494924,-0.07948990854619993
1756047316.4969242,-0.07948990854619993
1756047316.498924,-0.07820781324706769
1756047316.500924,-0.07692571794793543
1756047316.5029242,-0.07436152734967091
1756047316.504924,-0.0717973367514064
1756047316.5069242,-0.06795105085400963
1756047316.508924,-0.06538686025574511
1756047316.510924,-0.0628226696574806
1756047316.5129242,-0.06154057435834834
1756047316.514924,-0.06154057435834834
1756047316.5169241,-0.06154057435834834
1756047316.518924,-0.0628226696574806
1756047316.520924,-0.06410476495661285
1756047316.5229242,-0.06538686025574511
1756047316.524924,-0.06666895555487737
1756047316.5269241,-0.06666895555487737
1756047316.528924,-0.06795105085400963
1756047316.530924,-0.06666895555487737
1756047316.5329242,-0.06666895555487737
1756047316.534924,-0.06538686025574511
1756047316.5369241,-0.06538686025574511
1756047316.538924,-0.06410476495661285
1756047316.540924,-0.06410476495661285
1756047316.5429242,-0.06410476495661285
1756047316.544924,-0.06410476495661285
1756047316.546924,-0.06410476495661285
1756047316.548924,-0.06538686025574511
1756047316.550924,-0.06795105085400963
1756047316.5529242,-0.07051524145227414
1756047316.554924,-0.07307943205053866
1756047316.556924,-0.07692571794793543
1756047316.5589242,-0.08077200384533219
1756047316.560924,-0.08590038504186122
1756047316.5629241,-0.09102876623839025
1756047316.564924,-0.09615714743491928
1756047316.566924,-0.10128552863144831
1756047316.5689242,-0.1076960051271096
1756047316.570924,-0.11538857692190313
1756047316.5729241,-0.12308114871669668
1756047316.574924,-0.13077372051149022
1756047316.576924,-0.13846629230628377
1756047316.5789242,-0.1461588641010773
1756047316.580924,-0.15513353119500312
1756047316.5829241,-0.16282610298979663
1756047316.584924,-0.17180077008372244
1756047316.586924,-0.17821124657938373
1756047316.5889242,-0.184621723075045
1756047316.590924,-0.1884680089724418
1756047316.592924,-0.19231429486983856
1756047316.594924,-0.19487848546810307
1756047316.596924,-0.19872477136549985
1756047316.5989242,-0.20128896196376436
1756047316.600924,-0.20385315256202888
1756047316.602924,-0.20513524786116114
1756047316.6049242,-0.2064173431602934
1756047316.606924,-0.2064173431602934
1756047316.6089242,-0.20769943845942565
1756047316.610924,-0.2064173431602934
1756047316.612924,-0.20513524786116114
1756047316.6149242,-0.19872477136549985
1756047316.616924,-0.19359639016897082
1756047316.6189241,-0.184621723075045
1756047316.620924,-0.17692915128025147
1756047316.622924,-0.16923657948545792
1756047316.6249242,-0.16282610298979663
1756047316.626924,-0.16154400769066438
1756047316.6289241,-0.16026191239153212
1756047316.630924,-0.16539029358806115
1756047316.632924,-0.17051867478459018
1756047316.6349242,-0.17949334187851598
1756047316.636924,-0.1884680089724418
1756047316.6389241,-0.1974426760663676
1756047316.640924,-0.2064173431602934
1756047316.642924,-0.2089815337585579
1756047316.6449242,-0.21154572435682242
1756047316.646924,-0.1974426760663676
1756047316.648924,-0.184621723075045
1756047316.6509242,-0.15641562649413537
1756047316.652924,-0.12949162521235796
1756047316.6549242,-0.08718248034099348
1756047316.656924,-0.04615543076876125
1756047316.658924,0.0064104764956612855
1756047316.6609242,0.05897638376008382
1756047316.662924,0.11410648162277087
1756047316.6649241,0.17051867478459018
1756047316.666924,0.2205203914507482
1756047316.668924,0.27052210811690625
1756047316.6709242,0.30642077649260946
1756047316.672924,0.3423194448683126
1756047316.6749241,0.35898668375703197
1756047316.676924,0.3769360179448836
1756047316.678924,0.37821811324401583
1756047316.6809242,0.38078230384228035
1756047316.682924,0.364115064953561
1756047316.6849241,0.3487299213639739
1756047316.686924,0.32949849187699004
1756047316.688924,0.31026706239000623
1756047316.6909242,0.28847144230475785
1756047316.692924,0.2666758222195095
1756047316.694924,0.24231601153599658
1756047316.696924,0.21923829615161597
1756047316.698924,0.19231429486983856
1756047316.7009242,0.1666723888871934
1756047316.702924,0.13590210170801925
1756047316.704924,0.10641390982797734
1756047316.7069242,0.07564362264880317
1756047316.708924,0.044873335469628996
1756047316.7109241,0.015385143589587084
1756047316.712924,-0.014103048290454827
1756047316.714924,-0.039744954273099965
1756047316.7169242,-0.06538686025574511
1756047316.718924,-0.08590038504186122
1756047316.7209241,-0.1076960051271096
1756047316.722924,-0.12308114871669668
1756047316.724924,-0.13846629230628377
1756047316.7269242,-0.14872305469934183
1756047316.728924,-0.16026191239153212
1756047316.7309241,-0.16795448418632566
1756047316.732924,-0.1756470559811192
1756047316.734924,-0.18077543717764824
1756047316.7369242,-0.18590381837417727
1756047316.738924,-0.18718591367330953
1756047316.7409241,-0.18975010427157404
1756047316.742924,-0.18975010427157404
1756047316.744924,-0.18975010427157404
1756047316.7469242,-0.18718591367330953
1756047316.748924,-0.184621723075045
1756047316.750924,-0.18077543717764824
1756047316.7529242,-0.17821124657938373
1756047316.754924,-0.17436496068198695
1756047316.7569242,-0.17051867478459018
1756047316.758924,-0.16539029358806115
1756047316.760924,-0.16154400769066438
1756047316.7629242,-0.1576977217932676
1756047316.764924,-0.15513353119500312
1756047316.7669241,-0.1525693405967386
1756047316.768924,-0.15000514999847409
1756047316.770924,-0.14872305469934183
1756047316.7729242,-0.14872305469934183
1756047316.774924,-0.14872305469934183
1756047316.7769241,-0.15000514999847409
1756047316.778924,-0.1525693405967386
1756047316.780924,-0.15513353119500312
1756047316.7829242,-0.15897981709239986
1756047316.784924,-0.16282610298979663
1756047316.7869241,-0.1666723888871934
1756047316.788924,-0.17051867478459018
1756047316.790924,-0.17180077008372244
1756047316.7929242,-0.17436496068198695
1756047316.794924,-0.1730828653828547
1756047316.796924,-0.17180077008372244
1756047316.798924,-0.16795448418632566
1756047316.800924,-0.1641081982889289
1756047316.8029242,-0.15897981709239986
1756047316.804924,-0.15385143589587086
1756047316.806924,-0.14744095940020957
1756047316.8089242,-0.14231257820368054
1756047316.810924,-0.1371841970071515
1756047316.8129241,-0.13333791110975474
1756047316.814924,-0.12949162521235796
1756047316.816924,-0.12692743461409345
1756047316.8189242,-0.1256453393149612
1756047316.820924,-0.12436324401582893
1756047316.8229241,-0.12436324401582893
1756047316.824924,-0.12436324401582893
1756047316.826924,-0.12436324401582893
1756047316.8289242,-0.1256453393149612
1756047316.830924,-0.1256453393149612
1756047316.8329241,-0.12692743461409345
1756047316.834924,-0.1256453393149612
1756047316.836924,-0.1256453393149612
1756047316.8389242,-0.12308114871669668
1756047316.840924,-0.12051695811843216
1756047316.842924,-0.11410648162277087
1756047316.844924,-0.1076960051271096
1756047316.846924,-0.0987213380331838
1756047316.8489242,-0.08974667093925799
1756047316.850924,-0.07692571794793543
1756047316.852924,-0.06538686025574511
1756047316.8549242,-0.051283811965290284
1756047316.856924,-0.038462858973967715
1756047316.8589242,-0.025641905982645142
1756047316.860924,-0.014103048290454827
1756047316.862924,-0.005128381196529028
1756047316.8649242,0.003846285897396771
1756047316.866924,0.011538857692190313
1756047316.8689241,0.019231429486983857
1756047316.870924,0.0269240012817774
1756047316.872924,0.03461657307657094
1756047316.8749242,0.04230914487136448
1756047316.876924,0.050001716666158026
1756047316.8789241,0.057694288460951565
1756047316.880924,0.06538686025574511
1756047316.882924,0.0717973367514064
1756047316.8849242,0.07948990854619993
1756047316.886924,0.0833361944435967
1756047316.8889241,0.08718248034099348
1756047316.890924,0.08590038504186122
1756047316.892924,0.08461828974272896
1756047316.8949242,0.07948990854619993
1756047316.896924,0.07436152734967091
1756047316.898924,0.06666895555487737
1756047316.9009242,0.05897638376008382
1756047316.902924,0.05256590726442254
1756047316.9049242,0.04615543076876125
1756047316.906924,0.04102704957223222
1756047316.908924,0.0358986683757032
1756047316.9109242,0.03077028717917417
1756047316.912924,0.0269240012817774
1756047316.9149241,0.02179562008524837
1756047316.916924,0.016667238888719342
1756047316.918924,0.010256762393058056
1756047316.9209242,0.005128381196529028
1756047316.922924,0.0
1756047316.9249241,-0.0064104764956612855
1756047316.926924,-0.010256762393058056
1756047316.928924,-0.015385143589587084
1756047316.9309242,-0.019231429486983857
1756047316.932924,-0.023077715384380627
1756047316.9349241,-0.024359810683512884
1756047316.936924,-0.025641905982645142
1756047316.938924,-0.0269240012817774
1756047316.9409242,-0.028206096580909654
1756047316.942924,-0.03077028717917417
1756047316.944924,-0.03461657307657094
1756047316.946924,-0.039744954273099965
1756047316.948924,-0.044873335469628996
1756047316.9509242,-0.05256590726442254
1756047316.952924,-0.06025847905921608
1756047316.954924,-0.06923314615314188
1756047316.9569242,-0.07820781324706769
1756047316.958924,-0.08718248034099348
1756047316.9609241,-0.09615714743491928
1756047316.962924,-0.10384971922971283
1756047316.964924,-0.11154229102450636
1756047316.9669242,-0.11795276752016765
1756047316.968924,-0.12436324401582893
1756047316.9709241,-0.12949162521235796
1756047316.972924,-0.13590210170801925
1756047316.974924,-0.13974838760541602
1756047316.9769242,-0.14487676880194506
1756047316.978924,-0.14872305469934183
1756047316.9809241,-0.1525693405967386
1756047316.982924,-0.15513353119500312
1756047316.984924,-0.15897981709239986
1756047316.9869242,-0.16026191239153212
1756047316.988924,-0.16282610298979663
1756047316.9909241,-0.16154400769066438
1756047316.992924,-0.16154400769066438
1756047316.994924,-0.15897981709239986
1756047316.9969242,-0.15641562649413537
1756047316.998924,-0.15128724529760634
1756047317.000924,-0.1461588641010773
1756047317.0029242,-0.13974838760541602
1756047317.004924,-0.13333791110975474
1756047317.0069242,-0.1256453393149612
1756047317.008924,-0.11795276752016765
1756047317.010924,-0.11154229102450636
1756047317.0129242,-0.10513181452884508
1756047317.014924,-0.10000343333231605
1756047317.0169241,-0.09615714743491928
1756047317.018924,-0.09487505213578702
1756047317.020924,-0.09487505213578702
1756047317.0229242,-0.09615714743491928
1756047317.024924,-0.0987213380331838
1756047317.0269241,-0.10128552863144831
1756047317.028924,-0.10513181452884508
1756047317.030924,-0.10641390982797734
1756047317.0329242,-0.10897810042624186
1756047317.034924,-0.10897810042624186
1756047317.0369241,-0.10897810042624186
1756047317.038924,-0.1076960051271096
1756047317.040924,-0.10641390982797734
1756047317.0429242,-0.10384971922971283
1756047317.044924,-0.10128552863144831
1756047317.046924,-0.10000343333231605
1756047317.048924,-0.0987213380331838
1756047317.050924,-0.09743924273405154
1756047317.0529242,-0.09743924273405154
1756047317.054924,-0.09743924273405154
1756047317.056924,-0.0987213380331838
1756047317.0589242,-0.09743924273405154
1756047317.060924,-0.09743924273405154
1756047317.0629241,-0.09487505213578702
1756047317.064924,-0.09359295683665476
1756047317.066924,-0.08974667093925799
1756047317.0689242,-0.08718248034099348
1756047317.070924,-0.08205409914446445
1756047317.0729241,-0.07820781324706769
1756047317.074924,-0.07436152734967091
1756047317.076924,-0.0717973367514064
1756047317.0789242,-0.07051524145227414
1756047317.080924,-0.07051524145227414
1756047317.0829241,-0.06923314615314188
1756047317.084924,-0.06923314615314188
1756047317.086924,-0.06795105085400963
1756047317.0889242,-0.06795105085400963
1756047317.090924,-0.06410476495661285
1756047317.092924,-0.06154057435834834
1756047317.094924,-0.05513009786268705
1756047317.096924,-0.04871962136702577
1756047317.0989242,-0.039744954273099965
1756047317.100924,-0.03077028717917417
1756047317.102924,-0.02179562008524837
1756047317.1049242,-0.014103048290454827
1756047317.106924,-0.007692571794793542
1756047317.1089242,-0.001282095299132257
1756047317.110924,0.002564190598264514
1756047317.112924,0.0064104764956612855
1756047317.1149242,0.0089746670939258
1756047317.116924,0.011538857692190313
1756047317.1189241,0.012820952991322571
1756047317.120924,0.015385143589587084
1756047317.122924,0.016667238888719342
1756047317.1249242,0.0179493341878516
1756047317.126924,0.016667238888719342
1756047317.1289241,0.015385143589587084
1756047317.130924,0.011538857692190313
1756047317.132924,0.0089746670939258
1756047317.1349242,0.003846285897396771
1756047317.136924,-0.001282095299132257
1756047317.1389241,-0.0064104764956612855
1756047317.140924,-0.012820952991322571
1756047317.142924,-0.016667238888719342
1756047317.1449242,-0.02179562008524837
1756047317.146924,-0.023077715384380627
1756047317.148924,-0.025641905982645142
1756047317.1509242,-0.024359810683512884
1756047317.152924,-0.024359810683512884
1756047317.1549242,-0.02179562008524837
1756047317.156924,-0.02051352478611611
1756047317.158924,-0.0179493341878516
1756047317.1609242,-0.015385143589587084
1756047317.162924,-0.012820952991322571
1756047317.1649241,-0.011538857692190313
1756047317.166924,-0.010256762393058056
1756047317.168924,-0.0089746670939258
1756047317.1709242,-0.0064104764956612855
1756047317.172924,-0.005128381196529028
1756047317.1749241,-0.002564190598264514
1756047317.176924,0.0
1756047317.178924,0.001282095299132257
1756047317.1809242,0.003846285897396771
1756047317.182924,0.003846285897396771
1756047317.1849241,0.003846285897396771
1756047317.186924,0.002564190598264514
1756047317.188924,0.002564190598264514
1756047317.1909242,0.001282095299132257
1756047317.192924,0.0
1756047317.194924,-0.001282095299132257
1756047317.196924,-0.002564190598264514
1756047317.198924,-0.001282095299132257
1756047317.2009242,-0.001282095299132257
1756047317.202924,0.0
1756047317.204924,0.0
1756047317.2069242,-0.001282095299132257
1756047317.208924,-0.002564190598264514
1756047317.2109241,-0.005128381196529028
1756047317.212924,-0.0089746670939258
1756047317.214924,-0.012820952991322571
